title,actor name,director name,year,genre,aggregate value
Bain el atlal,"Khaled, Rawhiyya","Zulficar, Ezzel Dine",1959,Romance,"Bain el atlal (1959) Khaled, Rawhiyya Zulficar, Ezzel Dine 1959 Romance"
Amma Ariyan,"Balan, Nilambur","Abraham, John (I)",1986,,"Amma Ariyan (1986) Balan, Nilambur Abraham, John (I) 1986"
Daughters of Today,,"Mehta, G.K. (I)",1928,,"Daughters of Today (1928)  Mehta, G.K. (I) 1928"
"Amor brujo, El","Rodr?guez, Manuel (II)","Saura, Carlos",1986,Drama,"Amor brujo, El (1986) Rodr?guez, Manuel (II) Saura, Carlos 1986 Drama"
Amorosa,"Zweigbergk, Ulf von","Zetterling, Mai",1986,Drama,"Amorosa (1986) Zweigbergk, Ulf von Zetterling, Mai 1986 Drama"
Up Pops the Devil,"Dodd, Claire","Sutherland, A. Edward",1931,Comedy,"Up Pops the Devil (1931) Dodd, Claire Sutherland, A. Edward 1931 Comedy"
Soldier,"Mandelberg, Alex","Anderson, Paul W.S.",1998,Action,"Soldier (1998/I) Mandelberg, Alex Anderson, Paul W.S. 1998 Action"
Angustia,"Lloveras, Joan","Luna, Bigas",1987,Horror,"Angustia (1987) Lloveras, Joan Luna, Bigas 1987 Horror"
B-hyeong namja chingu,"Lee, Dong-geon","Choi, Seok-won",2005,Comedy,"B-hyeong namja chingu (2005) Lee, Dong-geon Choi, Seok-won 2005 Comedy"
Azuloscurocasinegro,"Mor?n, Manuel","S?nchez Ar?valo, Daniel",2006,Drama,"Azuloscurocasinegro (2006) Mor?n, Manuel S?nchez Ar?valo, Daniel 2006 Drama"
Amazons,"Johansson, Lena Marie","Sessa, Alejandro",1986,Sci-Fi,"Amazons (1986) Johansson, Lena Marie Sessa, Alejandro 1986 Sci-Fi"
Sweet Savior,"Waters, Alan","Roberts, Robert L.",1971,Drama,"Sweet Savior (1971) Waters, Alan Roberts, Robert L. 1971 Drama"
Gostya iz budushchego,"Pirotsky, Vladislav","Arsyonov, Pavel",1985,Romance,"Gostya iz budushchego (1985) (mini) Pirotsky, Vladislav Arsyonov, Pavel 1985 Romance"
Pauvre Pierrot,,"Reynaud, ?mile",1892,Short,"Pauvre Pierrot (1892)  Reynaud, ?mile 1892 Short"
"Clown et ses chiens, Le",,"Reynaud, ?mile",1892,Short,"Clown et ses chiens, Le (1892)  Reynaud, ?mile 1892 Short"
Carmencita,Carmencita,"Dickson, William K.L.",1894,Short,"Carmencita (1894) Carmencita Dickson, William K.L. 1894 Short"
Soul Food,"Braun, Tamara","Tillman Jr., George",1997,Comedy,"Soul Food (1997) Braun, Tamara Tillman Jr., George 1997 Comedy"
Corbett and Courtney Before the Kinetograph,"Courtney, Peter",,1894,Short,"Corbett and Courtney Before the Kinetograph (1894) Courtney, Peter  1894 Short"
Chinese Opium Den,,,1894,Short,Chinese Opium Den (1894)   1894 Short
Song jia huang chao,"Yeoh, Michelle","Cheung, Mabel",1997,History,"Song jia huang chao (1997) Yeoh, Michelle Cheung, Mabel 1997 History"
Blacksmith Scene,"Ott, John (II)","Dickson, William K.L.",1893,Short,"Blacksmith Scene (1893) Ott, John (II) Dickson, William K.L. 1893 Short"
Un bon bock,,"Reynaud, ?mile",1892,Short,"Un bon bock (1892)  Reynaud, ?mile 1892 Short"
"American Tail, An","Plummer, Christopher (I)","Bluth, Don",1986,Comedy,"American Tail, An (1986) Plummer, Christopher (I) Bluth, Don 1986 Comedy"
Lassie,"Monteath, David","Sturridge, Charles",2005,Family,"Lassie (2005) Monteath, David Sturridge, Charles 2005 Family"
Miss Jerry,"Courtenay, William",,1894,Romance,"Miss Jerry (1894) Courtenay, William  1894 Romance"
American Anthem,"Maloney, Stacy","Magnoli, Albert",1986,Drama,"American Anthem (1986) Maloney, Stacy Magnoli, Albert 1986 Drama"
