title,rate,casting,director,year,genre,user_review,link
Godzilla x Kong: The New Empire,6.5,"['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns']",Adam Wingard,2024.0,action,"Monster = hurrah
Humans = garbageAnother Monster-Verse installment to the collection gave me another reason to visit my cinema. Luckily, I wasn't disappointed, I got everything what I expected which might be summoned by the two equations above.About humans:
If you want to watch the movie at home, don't waste time on humans subplot. It's completely pointless. The dialogues aren't funny or smart. They serve poor exposition which is painfully exhausting to watch. You see the monsters fighting and these ""characters"" are explaining in between: oh, he is protecting! - Come on, who wrote this? In my opinion if Legendary Studios wants to include humans, they should at least try making them just little interesting or just remove them completely. None of them is doing anything necessary, furthermore whatever they're doing doesn't make any sense. Why the hell are they in the Hollow Earth without protection? One guy is just in a Hawaiian shirt. The amount of dangerous monsters is not alarming, I guess... Paper Boy is filming everything but the British guy in a Hawaiian shirt says something like: It's better to keep it in a secret, this ancient civilization shouldn't be exposed to our world. The girl from Godzilla Vs. Kong (she is from that world and has weird X-Men power (?)) is among modern people, so the world already knows the underground world. What does he want to hide? There is more of this stupidity.About the monsters:
Kong is the lead. His journey is simple, he feels lonely, he wants to have a family of his kind. From the trailers you know, there is more giant apes, so I am happy to see them because I am Team Kong :) I'd want to appreciate the ""dialogues"" between Kong and this little ginger fella. They don't use words as we do but believe me, these two are more interesting than the humans. You will enjoy it.Godzilla and the rest are just monsters. Sadly Godzilla isn't intimidating in this movie, his only goal is to gain the pink level of nuclear power and then use it to fight the bad monkey. However, the fight scenes are awesome - this is why we are watching this type of movies, so if you're a fan of giant monsters, I recommend Godzilla x Kong: The New Empire... and don't expect to see raise of ""the new empire"" in this movie. It's a kinda awkward title generated by ChatGPT.",https://www.imdb.com/title/tt14539740/?ref_=sr_i_1
The Gentlemen,8.2,"['Theo James', 'Kaya Scodelario', 'Daniel Ings', 'Joely Richardson', 'Vinnie Jones']",Creator,2024.0,action,"Taking the same path of the movie, this Netflix series follows the adventures of former soldier and recently titled Eddie, who inherits the family estate, and unknowingly, a joint-venture weed empire with a London gang.And it's this entertaining clash of old-English aristocracy and contemporary London drug gang that makes this series entertaining. Eddies older brother, Freddie, who should have inherited, is errant if well meaning, provides some classic ineptitude for comedy value.And there's a good balance of romantic tension between Eddie and the daughter of the gang's boss to keep you guessing. The casting is good, production values high and storylines engaging.Witty, stylish and fun, it's a good addition to the Netflix lineup. Not too serious and gory, but with enough tension and characters to keep you entertained.",https://www.imdb.com/title/tt13210838/?ref_=sr_i_2
Road House,6.2,"['Jake Gyllenhaal', 'Daniela Melchior', 'Conor McGregor', 'Billy Magnussen', 'Jessica Williams']",Doug Liman,2024.0,action,"One of the great things about the original Road House was seeing Dalton clean house and improve the bar bit by bit. That is severely lacking here with next to no time spent in the actual Road House and barely any screen time is given to the people at the bar. One of the highlights of the Swayze movie was him getting to know the staff and getting rid of the bad elements at the bar. Nothing of the sort goes on in this movie.Jaoquim de Almeida is wasted as the sheriff and has little to do while Daniela Melchior has less of a role than Kelly Lynch had in the original if that was possible.The movie's saving grace is Jake Gyllenhaal who is clearly having a lot of fun in the role and has good chemistry with an OTT Conor McGregor in the movies best moments. Best stick to the original cult classic.(Glad to see Arturo Castro's Moe live, by far and away the best character in the whole movie).",https://www.imdb.com/title/tt3359350/?ref_=sr_i_3
Dune: Part Two,8.8,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin']",Denis Villeneuve,2024.0,action,"Had the pleasure to watch this film in an early screening and was completely blown away.As a big fan of the Game of Thrones franchise, it's been a long time since iv'e encountered this level of world-building and epicness. Would highly recommend to re-watch the first movie in order to appreciate the subtleties and foreshadowing better, though it's not completely necessary since the movie is pretty self-contained and would please general audience that only watched the first movie 3 years ago just as well.Denis Villeneuve continues to prove himself as one of the most promising filmmakers of our time, and if it was up to me I would keep him in these high-budget epic tales such as these since there are very few directors working today that can tackle this genre as good as he does.In my personal opinion, the movie is better than the first part in pretty much every aspect. Hans Zimmer's score is masterful just as you'd expect, and one step up from the Oscar winner and Grammy nominated score of Pt. 1. Technical aspects such as VFX, Production Design, Sound, Editing, etc. Are all top notch and awards-worthy. The action sequences are absolutely mind blowing and sent chills down my spine. Denis direction is impeccable, and the story is absolutely fascinating- continuing to develop characters from Pt. 1 even deeper and introduce new incredible and intriguing characters.The movie serves as a great wrap-up to the story introduced in Pt. 1 however in my opinion could serve as an even better set-up to a possible masterpiece in Dune: Messiah, which I really hope will get green-lit soon.I believe (and surely hope) this movie will be a major player in the next Award Season. Below-the-line wins are pretty much guaranteed as of now, but I hope it will get some love in above-the-line categories such as Direction and even Best Picture, perhaps to break stigmas presented against the Fantasy/Sci-Fi genre in recent years at the Academy. As a big fan of the genre, unless a better competitor will be released later this eligibility period, maybe it's time for a movie like this to triumph once again.Don't miss the opportunity to catch this movie on IMAX, since I believe it's an historic piece of epic-Fantasy/Sci-Fi cinema and a movie that will be remembered as a classic of the genre.Extremely recommended.",https://www.imdb.com/title/tt15239678/?ref_=sr_i_4
Invincible,8.7,"['Steven Yeun', 'J.K. Simmons', 'Sandra Oh', 'Grey Griffin', 'Zazie Beetz']",Creators,2021.0,action,"Invincible takes the classic Image Comics series and gives us the best mature animated superhero series since Spawn: The Animated Series. Considering both are Image properties, it's also no surprise that the violence in them is something that a Bruce-Timm-Batman cartoon wouldn't touch with a ten-foot poll, or Spider-Man toons even. However, the 'splashes' of humour and quippy dialogue IS something Invincible does honour and lean into when it comes to revering other superhero shows like Batman; this show takes something like the DCAU and decides to use it as a launchpad for Uber-violence and character-centric world-building focusing on sex and grey morality in a MARVEL-like universe.Invincible feels like an extension of the shows so many of us grew up with, and a maturing of the kinds of stories Bruce Timm started off years ago, without losing the sense of superhero fun. It's character-drama, action-adventure, 'cape-opera', and universe-making stuff that proves it's truly special.Invincible is must-watch television. Thank goodness it's been renewed for seasons 2 & 3.",https://www.imdb.com/title/tt6741278/?ref_=sr_i_5
Renegade Nell,7.4,"['Louisa Harland', 'Frank Dillane', 'Alice Kremelberg', 'Enyi Okoronkwo', 'Bo Bragason']",Creator,2024.0,action,"Initial score: 8
Just two episodes in and and I find this series extremely good. Acting, story and action scenes are all well done.I love the setting and the fact that it mixes period drama and fantasy. The leading actress is well cast which is something rare these days. Thank God not another Instagram plastic with duck lips but a real person, believable for that day and age.Also great work on the villains of the story. Well written, not two dimensional and with appropriate menace and self conflict.I hope it keeps that standards of the first episodes. I will update my rating, up or down accordingly as I watch more. But from what I've seen it most probably go up.EDIT: well, that was unfortunate. It seems the creators, writers, directors had only two good episodes in them. The rest 6 are plagued by bad writing, no action scenes and that of low quality, unfocused plot. It even has a cruella de vil character and a queen that obviously lives in a stable and no means to protect her. Awful.",https://www.imdb.com/title/tt14502758/?ref_=sr_i_6
Monkey Man,7.3,"['Dev Patel', 'Sharlto Copley', 'Pitobash', 'Vipin Sharma', 'Sikandar Kher']",Dev Patel,2024.0,action,"""Only God can forgive you now""Man. What a wild ride. Violent, fast paced yet beautifully shot. Great effort by Dev Patel on his directorial debut. He has managed to create a worthwhile action film with some great set pieces, neck, breaking stunts and an overall good looking film.I think what triumphs the most is the fast pace, headache inducing editing (this is a positive) with some great colour schemes and set pieces. It's fast paced editing matched the chaotic streets of India, mixed with its rich culture and history.The soundtrack was reminiscent of John Wick, with it's party scenes and colour palette. There was some great cinematography, especially through its use of silhouettes towards the final act.You can see the directors, aim to portray the monkey man, as a legendary figure who supports the powerless, and the impoverished of India's lower class. He makes a stand against those who are in control, which is a great pairing for an action/revenge film.I will say that the second act does falter a bit in its speed and does drag down in some places however, it quickly picks up pace again in the last act where monkey man turns into a proper beast.You can see the message the director portrayed as he highlights the inequality surrounding the poor in India and uses this medium to show that there is hope and people willing to make a stand against those who are in control.All in all a decent action film with great choreography, stunts, soundtrack and editing. This is an enjoyable watch, but doesn't elevate much further than your standard action flick.All praise for Indian John Wick!",https://www.imdb.com/title/tt9214772/?ref_=sr_i_7
Game of Thrones,9.2,"['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey', 'Sophie Turner']",Creators,2011.0,action,"Was over-time on a gradual binge of watching 'Game of Thrones' from the first episode (gradual because of being so busy), having heard nothing but amazing things about it from friends, family and IMDb reviewers. Plus with such a great cast of talent and a brilliant book series, how could it possibly go wrong? The good news is that 'Game of Thrones' didn't go wrong. Quite the opposite. Not only is it a rare television show that does its original source material justice and treats it with respect but it is on its own merits one of the finest, most addictive and consistently compelling shows in recent years. A television show so brilliant that one has to actually check that it was made for television when everything is done to such a high level that it puts many films made today to shame. This is one of the strongest examples of an acclaimed show that deserves every ounce of the praise it's garnered.Visually, 'Game of Thrones' looks amazing. The scenery is throughout spectacular, the sets are hugely atmospheric and beautiful on the eyes with a real meticulous eye for detail and the costumes suit the characters to a tee. Then there are the special effects that are some of the best of any television programme and are not overused or abused, the scale, the detail and how they actually have character and soul are better than those in a lot of the big-budget blockbusters. As well the cinematography and editing, which are cinematic quality as well.One cannot talk about 'Game of Thrones' without mentioning the thematically, orchestrally and atmospherically multi-layered music scoring and the unforgettable main theme. Again, worthy of a high-budget fantasy/action/drama film.It is hard not to be bowled over by the quality of the writing, outstanding isn't a strong enough adjective to describe how good the writing is. It always has a natural flow, is layered and thought-provoking and demonstrates a wide range of emotions such as suspenseful tension, poignant pathos and witty humour. The story-lines are paced so beautifully, structured with such nuance and attention to coherence, a high emotional level and touch upon complex and sensitive themes with intelligence and tact.Whenever there's a set-piece or more action-oriented scene there's always a reason, never there for the sake of it. Not only are the set-pieces done with a lot epic scale, superb staging, excitement and dramatic tension but underneath all the scale and flashy attention to detail there is a lot of heart and a multi-layered one. They're not overlong, nor are there out of place elements.Characters are a huge part of the appeal too. 'Game of Thrones' has characters that are so well developed and as close to real life as one can get despite being in a fantasy world. These characters are not hero and villain archetypes (Joffrey is the only one close to that, the difference though is that he is an extremely interesting one with a lot of development who ranks well beyond one hundred percent on the threat level scale), they have much more to them and have strengths and flaws. Decisions are logical and one doesn't like any character any less when a decision is not the right one because mistakes are acknowledged and learnt from.'Game of Thrones' cast is full of talented names and, thanks to so well rounded characters and such great writing, nothing but the very best is gotten out of them. Even those who are not favourites of mine. Big acting standouts are Peter Dinklage, Sean Bean, Lena Headey and Jack Gleeson (Joffrey being the king of all young characters with not a redeeming bone in their body).In conclusion, absolutely outstanding and a rare television show worthy of being a cinematic modern classic. This review may sound superlatively hyperbolic, but to me 'Game of Thrones' is that good. 10/10 Bethany Cox",https://www.imdb.com/title/tt0944947/?ref_=sr_i_8
Road House,6.7,"['Patrick Swayze', 'Kelly Lynch', 'Sam Elliott', 'Ben Gazzara', 'Marshall R. Teague']",Rowdy Herrington,1989.0,action,"Patrick Swayze, a classically trained ballet dancer, plays Dalton, who is hired to be the head bouncer (the ""cooler"") of a wild bar down in the bayou called the Double Deuce. Things get a little out of hand when the local mob boss (played by Ben Gazzara, perhaps better known as The Big Lebowski's Jackie Treehorn) wants to fight. Luckily, Dalton has a friend... an old-time bouncer played by Sam Elliott.This film is mentioned as Dawson Leery's (from ""Dawson's Creek"") favorite movie, which seems really odd for a character who emulates Spielberg. The film is non-stop fight scenes that extend into full bar brawls. Okay, wait, not non-stop... there's also a fair amount of sex. Sex and nudity (both male and female). You will see more of Sam Elliott than you ever thought you would. And then back to the fighting.The bar brawls were enough to earn it the title of ""Second Best Fight Movie Ever"" (behind ""They Live"", though the choreography of ""Clockwork Orange"" is impressive) in my mind, but then the fights turn grotesquely violent. This is either a good thing or a bad thing depending on what you're looking for. I find this to be the selling point of the film, knowing that Dalton has the strength and training to rip a man's windpipe out through his neck. Yet, he has the cool calmness of a zen master (one wonders how his majoring in philosophy fits into his character... if at all).There are a few things that seem strange if you're being picky. All stores and houses are packed wall to wall with propane tanks apparently, as explosions happen for no reason. Cops don't show up for fires, bar fights or the destruction of an entire car dealership (by a monster truck). They do show up once in the film without being called, when their presence no longer matters.This is the kind of movie I can watch over and over and over again. Not because it's a great film (although it is pretty darn good)... but because its absurdity is, well, absurd. The film takes place in a universe I can only dream of. Which, being a late 1980s film, I guess makes it perfectly normal in some way. Well, whatever the case, I loved it and you should love it, too.",https://www.imdb.com/title/tt0098206/?ref_=sr_i_9
Civil War,7.7,"['Nick Offerman', 'Kirsten Dunst', 'Wagner Moura', 'Jefferson White', 'Nelson Lee']",Alex Garland,2024.0,action,"I was genuinely incredibly impressed by this movie. After watching the trailer, I was expecting an Expendables type of film. The reality is that this movie is brilliant. A dark twist and a brief insight into photo journalism and the horrors of war. A lot of time and effort has clearly gone into the production of this film. The way the actors move and react to situations added to the realism and added to the enjoyment of the viewer. Kirstin Dunst wasn't my first choice but her performance was spot on. I would recommend watching this film in IMax at the cinema. A lot of the drama would not necessarily be transferred to the small screen. Highly recommend.",https://www.imdb.com/title/tt17279496/?ref_=sr_i_10
