title,year,genre,rate,budget,revenue
The Gentlemen,2020-01-01,Action|Comedy|Crime,7.7,22000000,115171795
Road House,2024-03-08,Action|Thriller,7.061,85000000,0
Dune: Part Two,2024-02-27,Adventure|Science Fiction,8.311,190000000,666813734
Invincible,2006-08-25,Drama|History,7.0,30000000,57800000
Monkey Man,2024-04-03,Action|Thriller,7.4,10000000,12000000
Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,2017-12-12,Animation|Fantasy|TV Movie|War,7.7,0,0
Road House,2024-03-08,Action|Thriller,7.061,85000000,0
Civil War,2024-04-10,Action|Thriller|War,7.542,75000000,0
Dune,2021-09-15,Adventure|Science Fiction,7.789,165000000,433758183
Fallout,1998-01-01,Action|Science Fiction,4.5,0,0
The Rookie,1990-12-07,Action|Crime|Drama|Thriller,5.9,10000000,21600000
Damsel,2024-03-07,Action|Adventure|Fantasy,7.1,60000000,5000
The Gentlemen,2020-01-01,Action|Comedy|Crime,7.7,22000000,115171795
Kung Fu Panda 4,2024-03-02,Action|Animation|Comedy|Family|Fantasy,7.109,85000000,410255055
Halo,2019-06-01,Drama,5.0,0,0
9 + 1,2008-08-02,Horror|Thriller,0.0,0,0
Vikings: Battle of Heirs,2023-04-28,Action,6.5,0,0
The House of the Red Dragon,1969-10-22,Crime,0.0,0,0
Love Lies Bleeding,2024-03-08,Crime|Romance|Thriller,7.5,0,8000000
Gen V - Prime Premiere,2023-09-27,Action|Adventure|Comedy|Drama|Science Fiction,7.9,0,0
Avatar The Last Airbender: Echoes and Aftershocks,2025-10-10,Action|Adventure|Animation|Fantasy,0.0,0,0
The Boys,1998-05-07,Drama,6.3,0,0
The Wages of Fear,2024-03-28,Action|Thriller,5.9,0,0
Madame Web,2024-02-14,Action|Fantasy,5.673,80000000,99266032
Godzilla vs. Kong,2021-03-24,Action|Science Fiction|Thriller,7.625,200000000,470116094
Ghostbusters,1984-06-08,Comedy|Fantasy,7.484,30000000,296187079
The Beekeeper,2024-01-08,Action|Drama|Thriller,7.5,35000000,151417661
Argylle,2024-01-31,Action|Adventure|Comedy,6.168,200000000,95567617
Dune,2021-09-15,Adventure|Science Fiction,7.789,165000000,433758183
Attack on Titan,2015-08-01,Action|Horror|Science Fiction,6.064,0,0
Godzilla Minus One,2023-11-03,Action|Horror|Science Fiction,7.8,13000000,105100000
Heart of the Hunter,2024-03-28,Action|Mystery|Thriller,5.9,0,0
"Chicago and Earth, Wind & Fire - Live at the Greek Theatre",2005-08-10,Music,6.9,0,0
Avatar The Last Airbender: Echoes and Aftershocks,2025-10-10,Action|Adventure|Animation|Fantasy,0.0,0,0
Reacher - Prime Premiere,2023-12-13,Action|Crime|Drama,8.4,0,0
The Accountant,2016-10-13,Crime|Drama|Thriller,7.1,44000000,155160045
Making of The Last of Us,2023-03-12,Documentary,6.6,0,0
The Fall Guy,2024-04-24,Action|Adventure|Comedy,0.0,125000000,0
One Piece Film Red,2022-08-06,Action|Adventure|Animation|Fantasy|Music,7.3,0,150797338
The Dove and the Wolf,2019-08-12,Drama,5.5,0,0
Shogun,1981-06-17,Adventure|Drama|History,6.3,0,0
Godzilla x Kong: The New Empire,2024-03-27,Action|Adventure|Fantasy|Science Fiction,6.727,140956385,361305986
Dune: Part Two,2024-02-27,Adventure|Science Fiction,8.311,190000000,666813734
Invincible,2006-08-25,Drama|History,7.0,30000000,57800000
Ghostbusters: Frozen Empire,2024-03-20,Adventure|Comedy|Fantasy,6.594,100000000,138500000
Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,2017-12-12,Animation|Fantasy|TV Movie|War,7.7,0,0
Wish,2023-11-13,Adventure|Animation|Family|Fantasy,6.53,175000000,251720820
Dune,2021-09-15,Adventure|Science Fiction,7.789,165000000,433758183
Fallout,1998-01-01,Action|Science Fiction,4.5,0,0
